ds,yhat
2022-11-21,15.681781613893499
2022-11-22,15.500987287448876
2022-11-23,15.665797229784507
2022-11-24,15.445493612928132
2022-11-25,16.466951982775242
2022-11-26,19.491522623765036
2022-11-27,19.33380049889047
2022-11-28,16.14537332595278
2022-11-29,15.85015844635075
2022-11-30,15.909210988308326
2022-12-01,15.59424223840274
2022-12-02,16.53417059538899
2022-12-03,19.491955615782892
2022-12-04,19.283332970367955
2022-12-05,16.060540729580204
2022-12-06,15.747648135601377
2022-12-07,15.805369495228206
2022-12-08,15.504601868027969
2022-12-09,16.473008318495594
2022-12-10,19.47189628786611
2022-12-11,19.315007627632113
2022-12-12,16.152309147684456
2022-12-13,15.905393025019173
2022-12-14,16.032367698700696
2022-12-15,15.80147577384819
2022-12-16,16.837758466951847
2022-12-17,19.900013887368527
2022-12-18,19.799663472931815
2022-12-19,16.684613305252377
2022-12-20,16.474717677725174
2022-12-21,16.62672377673663
2022-12-22,16.40793248925606
2022-12-23,17.442893656057528
2022-12-24,20.49038218190775
2022-12-25,20.36226879081189
2022-12-26,17.207371990380047
2022-12-27,16.946898829690902
2022-12-28,17.039353890374123
2022-12-29,16.754152455599936
2022-12-30,17.718257435573356
2022-12-31,20.69308801443743
2023-01-01,20.493315613197023
2023-01-02,17.270635743338847
2023-01-03,16.94912549793397
2023-01-04,16.990068374106457
2023-01-05,16.665484659723344
2023-01-06,17.604689221724133
2023-01-07,20.571126831416127
2023-01-08,20.381102644556673
2023-01-09,17.187498233179355
2023-01-10,16.915084488158087
2023-01-11,17.025314366781117
2023-01-12,16.78983467206294
2023-01-13,17.837039303177885
2023-01-14,20.928914345911775
2023-01-15,20.87979247982003
2023-01-16,17.840106586392643
2023-01-17,17.731753006263972
2023-01-18,18.012946213672443
2023-01-19,17.951802584120067
2023-01-20,19.172973919954654
2023-01-21,22.43457910938768
2023-01-22,22.547049236271278
2023-01-23,19.6569737554121
2023-01-24,19.682555861075073
2023-01-25,20.0785565055111
2023-01-26,20.109962501117597
2023-01-27,21.398697255087686
2023-01-28,24.700620577295812
2023-01-29,24.82443117384657
2023-01-30,21.915558009891125
2023-01-31,21.891647546897868
2023-02-01,22.20752552564229
2023-02-02,22.12886829836917
2023-02-03,23.278902193557343
2023-02-04,26.41537765327162
2023-02-05,26.34943240997947
2023-02-06,23.229430877034034
2023-02-07,22.97638805795
2023-02-08,23.04885821957577
2023-02-09,22.716525138587592
2023-02-10,23.6068143953994
2023-02-11,26.48177657872602
2023-02-12,26.156857868859635
2023-02-13,22.78464739640843
2023-02-14,22.290211869441542
2023-02-15,22.135899811758065
2023-02-16,21.594854178080904
2023-02-17,22.297555586448127
2023-02-18,25.008646565612256
2023-02-19,24.54565455209373
2023-02-20,21.06270400386992
2023-02-21,20.485828776845363
2023-02-22,20.27776743118377
2023-02-23,19.711480224995924
2023-02-24,20.416709700068832
2023-02-25,23.156834608231335
2023-02-26,22.747633971071004
2023-02-27,19.341050434912216
2023-02-28,18.860562632828973
2023-03-01,18.76604759848987
2023-03-02,18.327370223051403
2023-03-03,19.17101979726501
2023-03-04,22.05704147765948
2023-03-05,21.797877562148834
2023-03-06,18.542205880427797
2023-03-07,18.210383251251766
2023-03-08,18.2593734320537
2023-03-09,17.956395110199235
2023-03-10,18.925608747953163
2023-03-11,21.925089127019884
2023-03-12,21.765697743056354
2023-03-13,18.59494189034162
2023-03-14,18.332428199732988
2023-03-15,18.434790139329436
2023-03-16,18.169325375898417
2023-03-17,19.160662405985047
2023-03-18,22.16770412585853
2023-03-19,22.002463512534394
2023-03-20,18.81387944447024
2023-03-21,18.52322174419442
2023-03-22,18.588966363895352
2023-03-23,18.28037807633394
2023-03-24,19.224121556773795
2023-03-25,22.181149975174687
2023-03-26,21.96548765660577
2023-03-27,18.727996125156352
2023-03-28,18.391733769956435
2023-03-29,18.416791054306213
2023-03-30,18.07383945111439
2023-03-31,18.99071561735976
2023-04-01,21.929290348443956
2023-04-02,21.704239083045486
2023-04-03,18.466803278332886
2023-04-04,18.140152698546128
2023-04-05,18.184230153488922
2023-04-06,17.869316315540466
2023-04-07,18.82263542319345
2023-04-08,21.805250583217827
2023-04-09,21.630864515800184
2023-04-10,18.449614069316684
2023-04-11,18.18346751627574
2023-04-12,18.2911051290586
2023-04-13,18.041519648009228
2023-04-14,19.06065648388603
2023-04-15,22.108341476014196
2023-04-16,21.997111257337302
2023-04-17,18.87603387584333
2023-04-18,18.666128137500696
2023-04-19,18.825261763969202
2023-04-20,18.621764718811043
2023-04-21,19.681077433532312
2023-04-22,22.762681788789926
2023-04-23,22.678930073590564
2023-04-24,19.578859869855147
2023-04-25,19.383603737714438
2023-04-26,19.551274299194954
2023-04-27,19.350561654595055
2023-04-28,20.407363497278805
2023-04-29,23.48169644976847
2023-04-30,23.3865045224067
2023-05-01,20.271453309850287
2023-05-02,20.058319438538867
2023-05-03,20.205856451366454
2023-05-04,19.983374587842974
2023-05-05,21.01735527102061
2023-05-06,24.068349181080524
2023-05-07,23.949774078155514
2023-05-08,20.811701151377136
2023-05-09,20.576239469253867
2023-05-10,20.702399682525957
2023-05-11,20.45967431153021
2023-05-12,21.47465522063525
2023-05-13,24.507936879487904
2023-05-14,24.372921234952603
2023-05-15,21.21961258788203
2023-05-16,20.970011638028335
2023-05-17,21.082989423525007
2023-05-18,20.82787806397811
2023-05-19,21.831098504403286
2023-05-20,24.853073484644742
2023-05-21,24.70704122607694
2023-05-22,21.54285795012592
2023-05-23,21.282398173416052
2023-05-24,21.3844333529836
2023-05-25,21.118225706852023
